locality,region,pop,proper
trapper-creek,ak,382,Trapper Creek
tuluksak,ak,456,Tuluksak
tuntutuliak,ak,820,Tuntutuliak
tununak,ak,450,Tununak
tyonek,ak,274,Tyonek
unalakleet,ak,756,Unalakleet
unalaska,ak,4205,Unalaska
upper-kalskag,ak,214,Upper Kalskag
utqiagvik,ak,4918,Utqiagvik
valdez,ak,3901,Valdez
venetie,ak,109,Venetie
wainwright,ak,628,Wainwright
wales,ak,162,Wales
wasilla,ak,9457,Wasilla
whale-pass,ak,87,Whale Pass
white-mountain,ak,181,White Mountain
whittier,ak,269,Whittier
willow,ak,2782,Willow
wrangell,ak,2100,Wrangell
yakutat,ak,564,Yakutat
abbeville,al,2361,Abbeville
adamsville,al,4292,Adamsville
addison,al,666,Addison
adger,al,3391,Adger
akron,al,226,Akron
alabaster,al,33741,Alabaster
alberta,al,753,Alberta
albertville,al,22544,Albertville
alexander-city,al,14701,Alexander City
alexandria,al,4419,Alexandria
aliceville,al,2121,Aliceville
allgood,al,544,Allgood
alpine,al,3317,Alpine
altoona,al,942,Altoona
andalusia,al,8824,Andalusia
anderson,al,254,Anderson
anniston,al,21343,Anniston
arab,al,8501,Arab
ardmore,al,1370,Ardmore
argo,al,4379,Argo
ariton,al,657,Ariton
arley,al,330,Arley
arlington,al,98,Arlington
ashford,al,2254,Ashford
ashland,al,1974,Ashland
ashville,al,2378,Ashville
athens,al,27095,Athens
atmore,al,8353,Atmore
attalla,al,5831,Attalla
auburn,al,78887,Auburn
auburn-university,al,5397,Auburn University
autaugaville,al,792,Autaugaville
avon,al,467,Avon
axis,al,1176,Axis
babbie,al,629,Babbie
baileyton,al,663,Baileyton
bakerhill,al,208,Bakerhill
banks,al,154,Banks
bankston,al,819,Bankston
bay-minette,al,8222,Bay Minette
bayou-la-batre,al,2180,Bayou La Batre
bear-creek,al,1041,Bear Creek
beatrice,al,204,Beatrice
beaverton,al,184,Beaverton
belk,al,184,Belk
bellamy,al,49,Bellamy
belle-mina,al,0,Belle Mina
bellwood,al,122,Bellwood
benton,al,39,Benton
berlin,al,501,Berlin
berry,al,1201,Berry
bessemer,al,25613,Bessemer
billingsley,al,121,Billingsley
birmingham,al,197823,Birmingham
black,al,226,Black
blountsville,al,1822,Blountsville
blue-springs,al,82,Blue Springs
boaz,al,10181,Boaz
boligee,al,292,Boligee
bon-air,al,169,Bon Air
bon-secour,al,620,Bon Secour
booth,al,0,Booth
boykin,al,455,Boykin
brantley,al,808,Brantley
bremen,al,3297,Bremen
brent,al,2837,Brent
brewton,al,5236,Brewton
bridgeport,al,2250,Bridgeport
brierfield,al,818,Brierfield
brighton,al,2295,Brighton
brilliant,al,831,Brilliant
brookside,al,1229,Brookside
brookwood,al,2475,Brookwood
brownsboro,al,4206,Brownsboro
brundidge,al,2047,Brundidge
bryant,al,3290,Bryant
bucks,al,20,Bucks
buhl,al,2162,Buhl
butler,al,1837,Butler
calera,al,17381,Calera
calvert,al,409,Calvert
camden,al,1879,Camden
camp-hill,al,991,Camp Hill
campbell,al,168,Campbell
carbon-hill,al,1739,Carbon Hill
cardiff,al,53,Cardiff
