locality,region,pop,proper
forest,in,566,Forest
fort-branch,in,2951,Fort Branch
fort-wayne,in,266372,Fort Wayne
fortville,in,4821,Fortville
fountain-city,in,714,Fountain City
fountaintown,in,2085,Fountaintown
fowler,in,2339,Fowler
fowlerton,in,269,Fowlerton
francesville,in,834,Francesville
francisco,in,540,Francisco
frankfort,in,16588,Frankfort
franklin,in,25651,Franklin
frankton,in,1781,Frankton
fredericksburg,in,671,Fredericksburg
freedom,in,1689,Freedom
freelandville,in,734,Freelandville
freetown,in,1427,Freetown
fremont,in,2049,Fremont
french-lick,in,1745,French Lick
friendship,in,0,Friendship
fulton,in,299,Fulton
galveston,in,1277,Galveston
garrett,in,6547,Garrett
gary,in,68529,Gary
gas-city,in,6101,Gas City
gaston,in,799,Gaston
geneva,in,1261,Geneva
gentryville,in,250,Gentryville
georgetown,in,3800,Georgetown
glenwood,in,237,Glenwood
goldsmith,in,180,Goldsmith
goodland,in,970,Goodland
goshen,in,34444,Goshen
gosport,in,847,Gosport
grabill,in,1123,Grabill
grammer,in,266,Grammer
grandview,in,693,Grandview
granger,in,31689,Granger
grantsburg,in,140,Grantsburg
greencastle,in,9844,Greencastle
greendale,in,4590,Greendale
greenfield,in,24151,Greenfield
greens-fork,in,328,Greens Fork
greensboro,in,123,Greensboro
greensburg,in,12305,Greensburg
greentown,in,2399,Greentown
greenville,in,1440,Greenville
greenwood,in,64897,Greenwood
griffin,in,141,Griffin
griffith,in,16422,Griffith
grissom-arb,in,0,Grissom Arb
grovertown,in,1807,Grovertown
guilford,in,2983,Guilford
gwynneville,in,372,Gwynneville
hagerstown,in,1685,Hagerstown
hamilton,in,1541,Hamilton
hamlet,in,764,Hamlet
hammond,in,77204,Hammond
hanna,in,1330,Hanna
hanover,in,3743,Hanover
hardinsburg,in,219,Hardinsburg
harlan,in,2747,Harlan
harmony,in,677,Harmony
harrodsburg,in,12,Harrodsburg
hartford-city,in,6056,Hartford City
hartsville,in,319,Hartsville
haubstadt,in,1626,Haubstadt
hazleton,in,191,Hazleton
hebron,in,3754,Hebron
helmsburg,in,119,Helmsburg
heltonville,in,1541,Heltonville
hemlock,in,18,Hemlock
henryville,in,4145,Henryville
highland,in,23809,Highland
hillsboro,in,503,Hillsboro
hillsdale,in,750,Hillsdale
hoagland,in,1849,Hoagland
hobart,in,29597,Hobart
hobbs,in,44,Hobbs
holland,in,617,Holland
holton,in,418,Holton
homecroft,in,745,Homecroft
homer,in,228,Homer
hope,in,2111,Hope
howe,in,4451,Howe
hudson,in,587,Hudson
huntertown,in,9230,Huntertown
huntingburg,in,6440,Huntingburg
huntington,in,17031,Huntington
huron,in,87,Huron
hymera,in,654,Hymera
idaville,in,785,Idaville
indian-village,in,116,Indian Village
indianapolis,in,882420,Indianapolis
ingalls,in,2515,Ingalls
jamestown,in,950,Jamestown
jasonville,in,1985,Jasonville
jasper,in,16700,Jasper
jeffersonville,in,50397,Jeffersonville
jonesboro,in,1504,Jonesboro
jonesville,in,177,Jonesville
kempton,in,287,Kempton
kendallville,in,10243,Kendallville
kennard,in,453,Kennard
kentland,in,1623,Kentland
kewanna,in,573,Kewanna
keystone,in,441,Keystone
kimmell,in,1200,Kimmell
kingman,in,558,Kingman
kingsbury,in,188,Kingsbury
kingsford-heights,in,1324,Kingsford Heights
kirklin,in,707,Kirklin
knightstown,in,2141,Knightstown
knightsville,in,698,Knightsville
knox,in,3657,Knox
kokomo,in,59657,Kokomo
kouts,in,2046,Kouts
la-crosse,in,573,La Crosse
la-fontaine,in,802,La Fontaine
la-paz,in,471,La Paz
la-porte,in,22420,La Porte
laconia,in,74,Laconia
ladoga,in,1080,Ladoga
lafayette,in,70902,Lafayette
lagrange,in,2712,Lagrange
lagro,in,347,Lagro
lake-station,in,13190,Lake Station
lake-village,in,2866,Lake Village
laketon,in,153,Laketon
lakeville,in,877,Lakeville
lamar,in,628,Lamar
lanesville,in,938,Lanesville
laotto,in,1472,Laotto
lapaz,in,500,Lapaz
lapel,in,2365,Lapel
larwill,in,272,Larwill
laurel,in,408,Laurel
lawrence,in,49448,Lawrence
lawrenceburg,in,5172,Lawrenceburg
leavenworth,in,291,Leavenworth
lebanon,in,16914,Lebanon
leesburg,in,554,Leesburg
leiters-ford,in,0,Leiters Ford
leo,in,5935,Leo
leo-cedarville,in,3664,Leo-Cedarville
leopold,in,588,Leopold
lewis,in,1176,Lewis
lewisville,in,341,Lewisville
lexington,in,5038,Lexington
liberty,in,2023,Liberty
liberty-center,in,422,Liberty Center
liberty-mills,in,105,Liberty Mills
ligonier,in,4582,Ligonier
lincoln-city,in,231,Lincoln City
linden,in,715,Linden
linton,in,5134,Linton
little-york,in,188,Little York
livonia,in,99,Livonia
lizton,in,515,Lizton
logansport,in,18227,Logansport
long-beach,in,1189,Long Beach
loogootee,in,2592,Loogootee
losantville,in,220,Losantville
lowell,in,10943,Lowell
lucerne,in,432,Lucerne
lynn,in,953,Lynn
lynnville,in,843,Lynnville
lyons,in,625,Lyons
mackey,in,130,Mackey
macy,in,203,Macy
madison,in,12319,Madison
manilla,in,897,Manilla
marengo,in,825,Marengo
marion,in,28126,Marion
markle,in,1076,Markle
markleville,in,487,Markleville
marshall,in,277,Marshall
martinsville,in,11954,Martinsville
marysville,in,1733,Marysville
matthews,in,491,Matthews
mauckport,in,45,Mauckport
maxwell,in,188,Maxwell
mays,in,9,Mays
mccordsville,in,14130,Mccordsville
mecca,in,272,Mecca
medaryville,in,557,Medaryville
medora,in,630,Medora
mellott,in,171,Mellott
memphis,in,3612,Memphis
mentone,in,941,Mentone
meridian-hills,in,1762,Meridian Hills
merom,in,208,Merom
merrillville,in,36423,Merrillville
metamora,in,1776,Metamora
mexico,in,611,Mexico
miami,in,315,Miami
michiana-shores,in,307,Michiana Shores
michigan-city,in,32041,Michigan City
michigantown,in,431,Michigantown
middlebury,in,3684,Middlebury
middletown,in,2263,Middletown
midland,in,94,Midland
milan,in,1825,Milan
milford,in,1613,Milford
mill-creek,in,838,Mill Creek
millersburg,in,959,Millersburg
millhousen,in,146,Millhousen
milltown,in,788,Milltown
milroy,in,1115,Milroy
milton,in,458,Milton
mishawaka,in,50994,Mishawaka
mitchell,in,3926,Mitchell
modoc,in,160,Modoc
mongo,in,154,Mongo
monon,in,1916,Monon
monroe,in,882,Monroe
monroe-city,in,496,Monroe City
monroeville,in,1309,Monroeville
monrovia,in,1719,Monrovia
monterey,in,182,Monterey
montezuma,in,935,Montezuma
montgomery,in,786,Montgomery
monticello,in,5502,Monticello
montpelier,in,1532,Montpelier
mooreland,in,340,Mooreland
moores-hill,in,681,Moores Hill
mooresville,in,9610,Mooresville
morgantown,in,1008,Morgantown
morocco,in,1070,Morocco
morris,in,0,Morris
morristown,in,1194,Morristown
mount-auburn,in,125,Mount Auburn
mount-ayr,in,115,Mount Ayr
mount-carmel,in,78,Mount Carmel
mount-etna,in,115,Mount Etna
mount-summit,in,343,Mount Summit
mount-vernon,in,6431,Mount Vernon
mulberry,in,1225,Mulberry
muncie,in,65150,Muncie
munster,in,23773,Munster
nabb,in,1315,Nabb
napoleon,in,236,Napoleon
nappanee,in,6923,Nappanee
nashville,in,1261,Nashville
needham,in,267,Needham
new-albany,in,37630,New Albany
new-amsterdam,in,15,New Amsterdam
new-carlisle,in,1899,New Carlisle
new-castle,in,17425,New Castle
new-chicago,in,1984,New Chicago
new-goshen,in,225,New Goshen
new-harmony,in,689,New Harmony
new-haven,in,15740,New Haven
new-lisbon,in,34,New Lisbon
new-market,in,558,New Market
new-middletown,in,89,New Middletown
new-palestine,in,2875,New Palestine
new-paris,in,3688,New Paris
new-pekin,in,1322,New Pekin
new-point,in,316,New Point
new-richmond,in,311,New Richmond
new-ross,in,308,New Ross
new-salisbury,in,3368,New Salisbury
new-trenton,in,180,New Trenton
new-washington,in,598,New Washington
new-waverly,in,48,New Waverly
new-whiteland,in,5575,New Whiteland
newberry,in,160,Newberry
newburgh,in,3370,Newburgh
newport,in,415,Newport
newtown,in,214,Newtown
nineveh,in,4045,Nineveh
noblesville,in,71155,Noblesville
norman,in,1317,Norman
north-crows-nest,in,42,North Crows Nest
north-judson,in,1847,North Judson
north-liberty,in,1618,North Liberty
north-manchester,in,5261,North Manchester
north-salem,in,466,North Salem
north-vernon,in,6569,North Vernon
north-webster,in,999,North Webster
notre-dame,in,7858,Notre Dame
oakford,in,0,Oakford
oakland-city,in,2272,Oakland City
oaktown,in,575,Oaktown
oakville,in,85,Oakville
odon,in,1392,Odon
ogden-dunes,in,1179,Ogden Dunes
oldenburg,in,646,Oldenburg
onward,in,77,Onward
oolitic,in,1139,Oolitic
ora,in,147,Ora
orestes,in,333,Orestes
orland,in,393,Orland
orleans,in,2097,Orleans
osceola,in,2585,Osceola
osgood,in,1584,Osgood
ossian,in,3340,Ossian
otisco,in,811,Otisco
otterbein,in,1137,Otterbein
otwell,in,1497,Otwell
owensburg,in,240,Owensburg
owensville,in,1338,Owensville
oxford,in,1162,Oxford
palmyra,in,904,Palmyra
paoli,in,3640,Paoli
paragon,in,563,Paragon
paris-crossing,in,432,Paris Crossing
parker-city,in,1276,Parker City
patoka,in,704,Patoka
patricksburg,in,35,Patricksburg
patriot,in,203,Patriot
paxton,in,4,Paxton
pekin,in,6808,Pekin
pendleton,in,4854,Pendleton
pennville,in,619,Pennville
perrysville,in,456,Perrysville
pershing,in,130,Pershing
peru,in,10967,Peru
petersburg,in,2284,Petersburg
petroleum,in,103,Petroleum
pierceton,in,932,Pierceton
pimento,in,498,Pimento
pine-village,in,212,Pine Village
pittsboro,in,3978,Pittsboro
plainfield,in,35510,Plainfield
plainville,in,496,Plainville
pleasant-lake,in,2392,Pleasant Lake
plymouth,in,10429,Plymouth
poland,in,2691,Poland
poneto,in,172,Poneto
portage,in,38246,Portage
porter,in,5234,Porter
portland,in,6271,Portland
poseyville,in,967,Poseyville
pottawattamie-park,in,246,Pottawattamie Park
prairie-creek,in,34,Prairie Creek
prairieton,in,0,Prairieton
princes-lakes,in,1370,Princes Lakes
princeton,in,8323,Princeton
putnamville,in,0,Putnamville
quincy,in,1203,Quincy
ragsdale,in,19,Ragsdale
ramsey,in,1329,Ramsey
redkey,in,1087,Redkey
reelsville,in,1949,Reelsville
remington,in,1344,Remington
rensselaer,in,5699,Rensselaer
reynolds,in,531,Reynolds
richland,in,407,Richland
richmond,in,35646,Richmond
ridgeville,in,690,Ridgeville
riley,in,238,Riley
rising-sun,in,2248,Rising Sun
river-forest,in,23,River Forest
roachdale,in,844,Roachdale
roann,in,436,Roann
roanoke,in,1774,Roanoke
rochester,in,6234,Rochester
rockport,in,1991,Rockport
rockville,in,2548,Rockville
rocky-ripple,in,647,Rocky Ripple
rolling-prairie,in,3525,Rolling Prairie
rome,in,142,Rome
rome-city,in,1309,Rome City
romney,in,887,Romney
rosedale,in,652,Rosedale
roseland,in,849,Roseland
rossville,in,1506,Rossville
royal-center,in,796,Royal Center
rushville,in,6158,Rushville
russellville,in,305,Russellville
russiaville,in,1314,Russiaville
saint-anthony,in,1109,Saint Anthony
saint-bernice,in,0,Saint Bernice
saint-croix,in,475,Saint Croix
saint-joe,in,416,Saint Joe
saint-john,in,21530,Saint John
saint-leon,in,663,Saint Leon
saint-mary-of-the-woods,in,345,Saint Mary Of The Woods
saint-meinrad,in,1290,Saint Meinrad
saint-paul,in,958,Saint Paul
salamonia,in,149,Salamonia
salem,in,6323,Salem
saltillo,in,96,Saltillo
san-pierre,in,1139,San Pierre
sandborn,in,358,Sandborn
santa-claus,in,2591,Santa Claus
saratoga,in,227,Saratoga
schererville,in,29723,Schererville
schneider,in,265,Schneider
schnellville,in,264,Schnellville
scipio,in,2054,Scipio
scotland,in,0,Scotland
scottsburg,in,7354,Scottsburg
seelyville,in,1011,Seelyville
sellersburg,in,9576,Sellersburg
selma,in,746,Selma
servia,in,207,Servia
seymour,in,21606,Seymour
shadeland,in,1778,Shadeland
shamrock-lakes,in,222,Shamrock Lakes
sharpsville,in,555,Sharpsville
shelburn,in,1106,Shelburn
shelby,in,66,Shelby
shelbyville,in,20087,Shelbyville
shepardsville,in,33,Shepardsville
sheridan,in,3105,Sheridan
shipshewana,in,848,Shipshewana
shirley,in,824,Shirley
shoals,in,675,Shoals
sidney,in,129,Sidney
silver-lake,in,871,Silver Lake
smithville,in,0,Smithville
solsberry,in,3618,Solsberry
somerset,in,19,Somerset
somerville,in,248,Somerville
south-bend,in,103161,South Bend
south-milford,in,37,South Milford
south-whitley,in,1818,South Whitley
southport,in,2097,Southport
speedway,in,13798,Speedway
spencer,in,2453,Spencer
spencerville,in,4099,Spencerville
spiceland,in,959,Spiceland
spring-grove,in,334,Spring Grove
spring-hill,in,94,Spring Hill
spring-lake,in,215,Spring Lake
springport,in,134,Springport
springville,in,5026,Springville
spurgeon,in,169,Spurgeon
star-city,in,1153,Star City
state-line,in,140,State Line
state-line-city,in,121,State Line City
staunton,in,469,Staunton
stendal,in,683,Stendal
stilesville,in,272,Stilesville
stinesville,in,202,Stinesville
stockwell,in,167,Stockwell
straughn,in,258,Straughn
stroh,in,192,Stroh
sullivan,in,4255,Sullivan
sulphur,in,43,Sulphur
sulphur-springs,in,336,Sulphur Springs
sumava-resorts,in,305,Sumava Resorts
summitville,in,987,Summitville
sunman,in,918,Sunman
swayzee,in,910,Swayzee
sweetser,in,1063,Sweetser
switz-city,in,268,Switz City
syracuse,in,3072,Syracuse
taswell,in,855,Taswell
taylorsville,in,667,Taylorsville
tell-city,in,7540,Tell City
templeton,in,0,Templeton
tennyson,in,216,Tennyson
terre-haute,in,58346,Terre Haute
thayer,in,647,Thayer
thorntown,in,1433,Thorntown
tippecanoe,in,1093,Tippecanoe
tipton,in,5291,Tipton
topeka,in,1216,Topeka
town-of-pines,in,594,Town of Pines
trafalgar,in,1500,Trafalgar
trail-creek,in,2064,Trail Creek
troy,in,355,Troy
tunnelton,in,0,Tunnelton
twelve-mile,in,918,Twelve Mile
tyner,in,107,Tyner
ulen,in,114,Ulen
underwood,in,2134,Underwood
union-city,in,3450,Union City
union-mills,in,1932,Union Mills
uniondale,in,271,Uniondale
unionville,in,1126,Unionville
universal,in,284,Universal
upland,in,3793,Upland
urbana,in,446,Urbana
utica,in,928,Utica
vallonia,in,1432,Vallonia
valparaiso,in,34471,Valparaiso
van-buren,in,781,Van Buren
veedersburg,in,2077,Veedersburg
velpen,in,456,Velpen
vera-cruz,in,74,Vera Cruz
vernon,in,235,Vernon
versailles,in,2179,Versailles
vevay,in,1754,Vevay
vincennes,in,16594,Vincennes
wabash,in,10394,Wabash
wadesville,in,3529,Wadesville
wakarusa,in,1999,Wakarusa
waldron,in,1638,Waldron
walkerton,in,2088,Walkerton
wallace,in,80,Wallace
walton,in,959,Walton
wanatah,in,1004,Wanatah
warren,in,1188,Warren
warren-park,in,1480,Warren Park
warsaw,in,15910,Warsaw
washington,in,12100,Washington
waterloo,in,2119,Waterloo
waveland,in,433,Waveland
wawaka,in,1139,Wawaka
waynetown,in,960,Waynetown
webster,in,182,Webster
west-baden-springs,in,543,West Baden Springs
west-college-corner,in,538,West College Corner
west-harrison,in,329,West Harrison
west-lafayette,in,45057,West Lafayette
west-lebanon,in,684,West Lebanon
west-newton,in,39,West Newton
west-terre-haute,in,2156,West Terre Haute
westfield,in,50702,Westfield
westphalia,in,118,Westphalia
westpoint,in,1620,Westpoint
westport,in,1381,Westport
westville,in,5283,Westville
wheatfield,in,929,Wheatfield
wheatland,in,387,Wheatland
wheeler,in,148,Wheeler
whiteland,in,4746,Whiteland
whitestown,in,11043,Whitestown
whitewater,in,71,Whitewater
whiting,in,4567,Whiting
wilkinson,in,423,Wilkinson
williams,in,1367,Williams
williams-creek,in,427,Williams Creek
williamsburg,in,1761,Williamsburg
williamsport,in,1951,Williamsport
winamac,in,2289,Winamac
winchester,in,4828,Winchester
windfall,in,1830,Windfall
windfall-city,in,693,Windfall City
winfield,in,7521,Winfield
wingate,in,242,Wingate
winona-lake,in,5067,Winona Lake
winslow,in,759,Winslow
wolcott,in,951,Wolcott
wolcottville,in,1015,Wolcottville
wolflake,in,109,Wolflake
woodburn,in,1566,Woodburn
woodlawn-heights,in,89,Woodlawn Heights
worthington,in,1391,Worthington
wyatt,in,50,Wyatt
wynnedale,in,215,Wynnedale
yeoman,in,118,Yeoman
yoder,in,1051,Yoder
yorktown,in,11625,Yorktown
young-america,in,206,Young America
zanesville,in,585,Zanesville
zionsville,in,31678,Zionsville
abbyville,ks,82,Abbyville
abilene,ks,6478,Abilene
admire,ks,134,Admire
agenda,ks,43,Agenda
agra,ks,202,Agra
albert,ks,129,Albert
alden,ks,121,Alden
alexander,ks,49,Alexander
allen,ks,160,Allen
alma,ks,811,Alma
almena,ks,355,Almena
alta-vista,ks,414,Alta Vista
altamont,ks,1046,Altamont
alton,ks,95,Alton
altoona,ks,346,Altoona
americus,ks,769,Americus
andale,ks,931,Andale
andover,ks,15379,Andover
anthony,ks,2039,Anthony
arcadia,ks,259,Arcadia
argonia,ks,458,Argonia
arkansas-city,ks,11983,Arkansas City
arlington,ks,433,Arlington
arma,ks,1404,Arma
arnold,ks,43,Arnold
ashland,ks,772,Ashland
assaria,ks,426,Assaria
atchison,ks,10822,Atchison
athol,ks,42,Athol
atlanta,ks,169,Atlanta
attica,ks,501,Attica
atwood,ks,1292,Atwood
auburn,ks,1259,Auburn
augusta,ks,9239,Augusta
aurora,ks,54,Aurora
axtell,ks,397,Axtell
baileyville,ks,404,Baileyville
baldwin-city,ks,4897,Baldwin City
barnard,ks,59,Barnard
barnes,ks,163,Barnes
bartlett,ks,67,Bartlett
basehor,ks,7256,Basehor
bassett,ks,22,Bassett
baxter-springs,ks,3865,Baxter Springs
bazine,ks,273,Bazine
beattie,ks,199,Beattie
beaumont,ks,40,Beaumont
beeler,ks,36,Beeler
bel-aire,ks,8451,Bel Aire
belle-plaine,ks,1470,Belle Plaine
belleville,ks,2005,Belleville
beloit,ks,3378,Beloit
belpre,ks,97,Belpre
belvue,ks,187,Belvue
bendena,ks,200,Bendena
benedict,ks,71,Benedict
bennington,ks,630,Bennington
bentley,ks,561,Bentley
benton,ks,944,Benton
bern,ks,163,Bern
berryton,ks,3355,Berryton
beverly,ks,135,Beverly
bird-city,ks,437,Bird City
bison,ks,175,Bison
blue-mound,ks,223,Blue Mound
blue-rapids,ks,927,Blue Rapids
bluff-city,ks,44,Bluff City
bogue,ks,152,Bogue
bonner-springs,ks,7746,Bonner Springs
bremen,ks,467,Bremen
brewster,ks,293,Brewster
bronson,ks,306,Bronson
brookville,ks,244,Brookville
brownell,ks,23,Brownell
bucklin,ks,716,Bucklin
bucyrus,ks,2628,Bucyrus
buffalo,ks,217,Buffalo
buhler,ks,1314,Buhler
bunker-hill,ks,105,Bunker Hill
burden,ks,514,Burden
burdett,ks,226,Burdett
burdick,ks,109,Burdick
burlingame,ks,965,Burlingame
burlington,ks,2639,Burlington
burns,ks,235,Burns
burr-oak,ks,141,Burr Oak
burrton,ks,859,Burrton
bushong,ks,31,Bushong
bushton,ks,202,Bushton
byers,ks,37,Byers
caldwell,ks,1020,Caldwell
cambridge,ks,93,Cambridge
caney,ks,1772,Caney
canton,ks,674,Canton
carbondale,ks,1340,Carbondale
carlton,ks,37,Carlton
cassoday,ks,109,Cassoday
catharine,ks,215,Catharine
cawker-city,ks,456,Cawker City
cedar,ks,12,Cedar
cedar-point,ks,23,Cedar Point
cedar-vale,ks,475,Cedar Vale
centerville,ks,576,Centerville
centralia,ks,488,Centralia
chanute,ks,8663,Chanute
chapman,ks,1377,Chapman
chase,ks,396,Chase
chautauqua,ks,106,Chautauqua
cheney,ks,2173,Cheney
cherokee,ks,593,Cherokee
cherryvale,ks,2170,Cherryvale
chetopa,ks,923,Chetopa
cimarron,ks,1986,Cimarron
circleville,ks,153,Circleville
claflin,ks,554,Claflin
clay-center,ks,4168,Clay Center
clayton,ks,44,Clayton
clearwater,ks,2644,Clearwater
clifton,ks,450,Clifton
climax,ks,44,Climax
clyde,ks,692,Clyde
coats,ks,67,Coats
coffeyville,ks,8744,Coffeyville
colby,ks,5568,Colby
coldwater,ks,675,Coldwater
collyer,ks,95,Collyer
colony,ks,377,Colony
columbus,ks,2898,Columbus
colwich,ks,1456,Colwich
concordia,ks,5057,Concordia
conway-springs,ks,1103,Conway Springs
coolidge,ks,78,Coolidge
copeland,ks,251,Copeland
corning,ks,215,Corning
cottonwood-falls,ks,855,Cottonwood Falls
council-grove,ks,2133,Council Grove
courtland,ks,293,Courtland
coyville,ks,59,Coyville
cuba,ks,140,Cuba
cullison,ks,87,Cullison
culver,ks,114,Culver
cummings,ks,688,Cummings
cunningham,ks,429,Cunningham
damar,ks,112,Damar
danville,ks,28,Danville
de-soto,ks,6392,De Soto
dearing,ks,377,Dearing
deerfield,ks,695,Deerfield
delia,ks,152,Delia
delphos,ks,305,Delphos
denison,ks,144,Denison
dennis,ks,346,Dennis
denton,ks,129,Denton
derby,ks,25777,Derby
dexter,ks,230,Dexter
dighton,ks,966,Dighton
dodge-city,ks,27649,Dodge City
dorrance,ks,144,Dorrance
douglass,ks,1542,Douglass
downs,ks,803,Downs
dresden,ks,44,Dresden
dunlap,ks,29,Dunlap
durham,ks,85,Durham
dwight,ks,214,Dwight
earlton,ks,59,Earlton
eastborough,ks,751,Eastborough
easton,ks,205,Easton
edgerton,ks,1743,Edgerton
edmond,ks,25,Edmond
edna,ks,381,Edna
edson,ks,163,Edson
edwardsville,ks,4669,Edwardsville
effingham,ks,491,Effingham
el-dorado,ks,12878,El Dorado
elbing,ks,224,Elbing
elgin,ks,57,Elgin
elk-city,ks,257,Elk City
elk-falls,ks,109,Elk Falls
elkhart,ks,1863,Elkhart
ellinwood,ks,1995,Ellinwood
ellis,ks,1952,Ellis
ellsworth,ks,3057,Ellsworth
elmdale,ks,40,Elmdale
elsmore,ks,53,Elsmore
elwood,ks,1114,Elwood
emmett,ks,170,Emmett
emporia,ks,23993,Emporia
englewood,ks,54,Englewood
ensign,ks,167,Ensign
enterprise,ks,715,Enterprise
erie,ks,1042,Erie
esbon,ks,70,Esbon
eskridge,ks,441,Eskridge
eudora,ks,6446,Eudora
eureka,ks,2295,Eureka
everest,ks,260,Everest
fairview,ks,241,Fairview
fairway,ks,4177,Fairway
fall-river,ks,128,Fall River
falun,ks,342,Falun
farlington,ks,250,Farlington
florence,ks,392,Florence
fontana,ks,224,Fontana
ford,ks,204,Ford
formoso,ks,94,Formoso
fort-dodge,ks,134,Fort Dodge
fort-leavenworth,ks,6990,Fort Leavenworth
fort-riley,ks,16709,Fort Riley
fort-scott,ks,7530,Fort Scott
fowler,ks,525,Fowler
frankfort,ks,726,Frankfort
franklin,ks,788,Franklin
frederick,ks,9,Frederick
fredonia,ks,2123,Fredonia
freeport,ks,70,Freeport
frontenac,ks,3397,Frontenac
fulton,ks,166,Fulton
galatia,ks,45,Galatia
galena,ks,2756,Galena
galesburg,ks,143,Galesburg
galva,ks,836,Galva
garden-city,ks,27836,Garden City
garden-plain,ks,947,Garden Plain
gardner,ks,23998,Gardner
garfield,ks,153,Garfield
garland,ks,189,Garland
garnett,ks,3210,Garnett
gas,ks,468,Gas
gaylord,ks,85,Gaylord
gem,ks,97,Gem
geneseo,ks,234,Geneseo
geuda-springs,ks,153,Geuda Springs
girard,ks,2497,Girard
glade,ks,51,Glade
glasco,ks,442,Glasco
glen-elder,ks,363,Glen Elder
goddard,ks,5383,Goddard
goessel,ks,554,Goessel
goff,ks,104,Goff
goodland,ks,4451,Goodland
gorham,ks,377,Gorham
gove,ks,152,Gove
gove-city,ks,80,Gove City
grainfield,ks,321,Grainfield
grandview-plaza,ks,1673,Grandview Plaza
grantville,ks,432,Grantville
great-bend,ks,14583,Great Bend
greeley,ks,268,Greeley
green,ks,96,Green
greenleaf,ks,349,Greenleaf
greensburg,ks,714,Greensburg
greenwich,ks,88,Greenwich
grenola,ks,147,Grenola
gridley,ks,312,Gridley
grinnell,ks,256,Grinnell
gypsum,ks,401,Gypsum
haddam,ks,111,Haddam
halstead,ks,2168,Halstead
hamilton,ks,179,Hamilton
hamlin,ks,25,Hamlin
hanover,ks,688,Hanover
hanston,ks,263,Hanston
hardtner,ks,163,Hardtner
harper,ks,1277,Harper
hartford,ks,355,Hartford
harveyville,ks,179,Harveyville
havana,ks,82,Havana
haven,ks,1160,Haven
havensville,ks,125,Havensville
haviland,ks,670,Haviland
hays,ks,21091,Hays
haysville,ks,11273,Haysville
hazelton,ks,83,Hazelton
healy,ks,493,Healy
hepler,ks,92,Hepler
herington,ks,2113,Herington
herndon,ks,122,Herndon
hesston,ks,3491,Hesston
hiawatha,ks,3256,Hiawatha
highland,ks,911,Highland
hill-city,ks,1397,Hill City
hillsboro,ks,2712,Hillsboro
hoisington,ks,2664,Hoisington
holcomb,ks,2224,Holcomb
hollenberg,ks,13,Hollenberg
holton,ks,3389,Holton
holyrood,ks,395,Holyrood
home,ks,85,Home
hope,ks,313,Hope
horace,ks,100,Horace
horton,ks,1514,Horton
howard,ks,560,Howard
hoxie,ks,1210,Hoxie
hoyt,ks,593,Hoyt
hudson,ks,95,Hudson
hugoton,ks,3776,Hugoton
humboldt,ks,1841,Humboldt
hunnewell,ks,42,Hunnewell
hunter,ks,52,Hunter
huron,ks,73,Huron
hutchinson,ks,39720,Hutchinson
independence,ks,8496,Independence
ingalls,ks,252,Ingalls
inman,ks,1331,Inman
iola,ks,5388,Iola
isabel,ks,65,Isabel
iuka,ks,151,Iuka
jamestown,ks,234,Jamestown
jennings,ks,80,Jennings
jetmore,ks,781,Jetmore
jewell,ks,366,Jewell
johnson,ks,1786,Johnson
johnson-city,ks,1432,Johnson City
junction-city,ks,22531,Junction City
kanopolis,ks,436,Kanopolis
kanorado,ks,152,Kanorado
kansas-city,ks,154789,Kansas City
kechi,ks,2252,Kechi
kendall,ks,160,Kendall
kensington,ks,399,Kensington
kincaid,ks,107,Kincaid
kingman,ks,3010,Kingman
kinsley,ks,1404,Kinsley
kiowa,ks,876,Kiowa
kirwin,ks,133,Kirwin
kismet,ks,336,Kismet
la-crosse,ks,1248,La Crosse
la-cygne,ks,1049,La Cygne
la-harpe,ks,488,La Harpe
labette,ks,53,Labette
lake-city,ks,197,Lake City
lake-quivira,ks,1010,Lake Quivira
lakin,ks,2162,Lakin
lancaster,ks,242,Lancaster
lane,ks,243,Lane
langdon,ks,40,Langdon
lansing,ks,11210,Lansing
larned,ks,3756,Larned
latham,ks,100,Latham
latimer,ks,31,Latimer
lawrence,ks,95372,Lawrence
le-roy,ks,937,Le Roy
leavenworth,ks,37161,Leavenworth
leawood,ks,33801,Leawood
lebanon,ks,180,Lebanon
lebo,ks,881,Lebo
lecompton,ks,594,Lecompton
lehigh,ks,158,Lehigh
lenexa,ks,58530,Lenexa
lenora,ks,201,Lenora
leon,ks,658,Leon
leona,ks,38,Leona
leonardville,ks,435,Leonardville
leoti,ks,1428,Leoti
leroy,ks,446,LeRoy
levant,ks,222,Levant
lewis,ks,386,Lewis
liberal,ks,19634,Liberal
liberty,ks,99,Liberty
liebenthal,ks,90,Liebenthal
lincoln,ks,1639,Lincoln
lincoln-center,ks,1155,Lincoln Center
lincolnville,ks,168,Lincolnville
lindsborg,ks,3752,Lindsborg
linn,ks,384,Linn
linn-valley,ks,1010,Linn Valley
linwood,ks,423,Linwood
little-river,ks,471,Little River
logan,ks,441,Logan
lone-elm,ks,21,Lone Elm
long-island,ks,135,Long Island
longford,ks,74,Longford
longton,ks,280,Longton
lorraine,ks,136,Lorraine
lost-springs,ks,54,Lost Springs
louisburg,ks,5010,Louisburg
louisville,ks,138,Louisville
lucas,ks,334,Lucas
ludell,ks,128,Ludell
luray,ks,166,Luray
lyndon,ks,1048,Lyndon
